Time,Furniture,Office supplies,Technology
12/1/2013,68,2,35
1/1/2014,81,3,40
2/1/2014,85,2,43
3/1/2014,81,2,42
4/1/2014,78,2,42
5/1/2014,82,2,40
6/1/2014,76,2,38
7/1/2014,82,3,36
8/1/2014,85,3,36
9/1/2014,70,3,45
10/1/2014,69,2,42
11/1/2014,77,2,41
12/1/2014,66,2,36
1/1/2015,77,3,41
2/1/2015,79,2,40
3/1/2015,76,2,42
4/1/2015,70,2,43
5/1/2015,75,2,39
6/1/2015,76,2,35
7/1/2015,82,3,34
8/1/2015,80,3,38
9/1/2015,68,2,44
10/1/2015,66,2,45
11/1/2015,75,2,43
12/1/2015,67,2,39
1/1/2016,82,2,40
2/1/2016,84,2,38
3/1/2016,81,2,40
4/1/2016,85,2,41
5/1/2016,84,2,36
6/1/2016,80,2,33
7/1/2016,81,2,30
8/1/2016,80,2,34
9/1/2016,78,2,38
10/1/2016,75,2,37
11/1/2016,67,2,34
12/1/2016,61,2,29
1/1/2017,77,2,41
2/1/2017,87,3,55
3/1/2017,86,2,53
4/1/2017,86,2,50
5/1/2017,87,2,49
6/1/2017,91,2,45
7/1/2017,97,2,41
8/1/2017,89,3,49
9/1/2017,83,3,53
10/1/2017,92,2,54
11/1/2017,100,2,52
12/1/2017,76,2,40
1/1/2018,93,3,48
